idx,x,y,z,u,v,label
101,-0.6310278064175918,-0.12694538246953457,0.56,0.28965739786080275,0.6692605099593794,
102,-0.6160345356808359,-0.13676405814124193,0.56,0.2946551547730547,0.6823520775216559,
103,-0.6010412649440798,-0.1465827338129495,0.56,0.2996529116853067,0.6954436450839327,
104,-0.6010013697354943,-0.12859712230215825,0.56,0.29966621008816857,0.671462829736211,
105,-0.600961474526909,-0.11061151079136677,0.56,0.29967950849103037,0.6474820143884891,
106,-0.6009215793183236,-0.09262589928057546,0.56,0.29969280689389216,0.6235011990407673,
107,-0.600881684109738,-0.07464028776978404,0.56,0.299706105296754,0.5995203836930454,
108,-0.6008417889011526,-0.056654676258992676,0.56,0.2997194036996158,0.5755395683453236,
109,-0.6008018936925672,-0.038669064748201365,0.56,0.2997327021024776,0.5515587529976018,
110,-0.6007619984839818,-0.020683453237410054,0.56,0.2997460005053394,0.52757793764988,
111,-0.6007221032753962,-0.0026978417266186883,0.56,0.29975929890820124,0.5035971223021583,
112,-0.6006822080668107,0.015287769784172678,0.56,0.2997725973110631,0.4796163069544364,
113,-0.6006423128582253,0.033273381294964044,0.56,0.2997858957139249,0.45563549160671457,
114,-0.60060241764964,0.051258992805755466,0.56,0.2997991941167867,0.43165467625899273,
115,-0.6005625224410546,0.06924460431654678,0.56,0.2998124925196485,0.40767386091127095,
116,-0.6005226272324692,0.08723021582733814,0.56,0.29982579092251027,0.3836930455635491,
117,-0.6004827320238838,0.10521582733812962,0.56,0.29983908932537207,0.3597122302158272,
118,-0.6004428368152983,0.12320143884892093,0.56,0.2998523877282339,0.3357314148681054,
119,-0.6004029416067127,0.14118705035971227,0.56,0.29986568613109577,0.31175059952038364,
120,-0.6003630463981273,0.1591726618705036,0.56,0.29987898453395756,0.28776978417266186,
121,-0.6003231511895419,0.17715827338129497,0.56,0.29989228293681935,0.26378896882494,
122,-0.6002832559809563,0.19514388489208634,0.56,0.2999055813396812,0.2398081534772182,
123,-0.600243360772371,0.21312949640287776,0.56,0.299918879742543,0.21582733812949634,
124,-0.6002034655637855,0.23111510791366907,0.56,0.29993217814540485,0.19184652278177455,
125,-0.6001635703552001,0.24910071942446044,0.56,0.29994547654826664,0.16786570743405277,
126,-0.6001236751466147,0.2670863309352518,0.56,0.29995877495112844,0.1438848920863309,
